FITS_FBA73546_pass_barcode61_af591219_c9d44752_0_trimmed_5ca5b593-76c9-4567-bb46-a1d847565c1c	233 bp.	SSU: 1-55	ITS1: 56-233	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
FITS_FBA73546_pass_barcode61_af591219_c9d44752_0_trimmed_40202d68-742d-43e5-8014-a6743db7cabb	252 bp.	SSU: 1-32	ITS1: 33-179	5.8S: No end	ITS2: Not found	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
FITS_FBA73546_pass_barcode61_af591219_c9d44752_0_trimmed_ff5c20b9-1468-41b6-8249-57b313ace119	205 bp.	SSU: 1-32	ITS1: 33-175	5.8S: No end	ITS2: Not found	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
FITS_FBA73546_pass_barcode61_af591219_c9d44752_0_trimmed_1b9328d5-f233-4ab0-b811-a1386d30148b	659 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 305-509	LSU: 510-659	Broken or partial sequence, only partial 5.8S! 
FITS_FBA73546_pass_barcode61_af591219_c9d44752_0_trimmed_495d5780-0230-46e8-8342-0c273c5a6ee5	227 bp.	SSU: 1-31	ITS1: 32-197	5.8S: No end	ITS2: Not found	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
FITS_FBA73546_pass_barcode61_af591219_c9d44752_0_trimmed_1296ca06-2a62-4f63-8cb0-ac5a3ce24bab	210 bp.	SSU: 1-32	ITS1: 33-210	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
FITS_FBA73546_pass_barcode61_af591219_c9d44752_0_trimmed_1afbe395-a168-4883-a8f0-7877ec01e806	222 bp.	SSU: 1-32	ITS1: 33-222	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
FITS_FBA73546_pass_barcode61_af591219_c9d44752_0_trimmed_40a5c604-9c65-4a5b-9b48-ac3442020f90	206 bp.	SSU: 1-32	ITS1: 33-206	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
FITS_FBA73546_pass_barcode61_af591219_c9d44752_0_trimmed_e5303aa5-dca6-4cea-8470-43869e596497	209 bp.	SSU: 1-32	ITS1: 33-179	5.8S: No end	ITS2: Not found	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
FITS_FBA73546_pass_barcode61_af591219_c9d44752_0_trimmed_a6a67409-ec4e-4229-ab92-7299e1115f65	539 bp.	SSU: Not found	ITS1: Not found	5.8S: No start	ITS2: 149-377	LSU: 378-539	Broken or partial sequence, only partial 5.8S! 
FITS_FBA73546_pass_barcode61_af591219_c9d44752_0_trimmed_07e1763b-67fc-4690-8fc6-5416918b8b55	206 bp.	SSU: 1-31	ITS1: 32-176	5.8S: No end	ITS2: Not found	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
FITS_FBA73546_pass_barcode61_af591219_c9d44752_0_trimmed_637a4659-159b-4cb9-ad4c-6741658cdd90	205 bp.	SSU: 1-32	ITS1: 33-205	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
FITS_FBA73546_pass_barcode61_af591219_c9d44752_0_trimmed_3241b420-7f82-4d1e-98e6-9dc414f8d132	207 bp.	SSU: 1-31	ITS1: 32-177	5.8S: No end	ITS2: Not found	LSU: Not found	Broken or partial sequence, only partial 5.8S! 
FITS_FBA73546_pass_barcode61_af591219_c9d44752_0_trimmed_c5d5f099-41b8-4eaf-aa16-983807c4414e	196 bp.	SSU: 1-32	ITS1: 33-196	5.8S: Not found	ITS2: Not found	LSU: Not found	Broken or partial sequence, no 5.8S! 
