ID	Status	Reason	Top_Hit
9b072263-961c-44c3-8aa4-b76d2e4c7b59_x_af591219_c9d44752_0_trimmed	Excluded	Low identity	Fungal sp. isolate OTU_1989_2 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence ~79%
1b871bb2-6c3e-481a-a558-c869a143b271_x_af591219_c9d44752_0_trimmed	Excluded	Low identity	Penicillium sp. strain KMM 4697 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~81%
eec3be96-dbc1-4c63-8eb3-743e7689941e_x_af591219_c9d44752_0_trimmed	Included	Fungal	Cryomyces minteri strain SYNF777 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~93%
4781eaeb-099d-4d95-8542-98485c0d4b23_x_af591219_c9d44752_0_trimmed	Included	Fungal	Penicillium crateriforme strain KCTC6784 18S ribosomal RNA gene, partial sequence ~87%
a493487c-2dc9-4a3b-851b-414983d7942e_x_af591219_c9d44752_0_trimmed	Excluded	Low identity	Penicillium chrysogenum strain 11K2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence ~73%
85d41512-008d-46ec-9018-89b5260f6a54_x_af591219_c9d44752_0_trimmed	Excluded	Low identity	Coniochaeta fodinicola strain YoF 18S ribosomal RNA gene, partial sequence ~77%
66331e8a-e2fc-4e78-842a-958c74697e14_x_af591219_c9d44752_0_trimmed	Excluded	Low identity	Penicillium janthinellum strain S210 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence ~84%
0a7cb4b4-2795-4757-9d54-95fe95814b12_x_af591219_c9d44752_0_trimmed	Included	Fungal	Lachancea thermotolerans strain FD6-1 16S ribosomal RNA gene, partial sequence ~98%
64d51f97-9234-44b5-a4e9-600b6a62f65f_x_af591219_c9d44752_0_trimmed	Included	Fungal	Uncultured fungus isolate UPSC_C12_37 18S small subunit ribosomal RNA gene, partial sequence ~91%
aae2c53f-37dc-4057-ae02-b909d24e659f_x_af591219_c9d44752_0_trimmed	Excluded	Low identity	Absidia healeyae strain UoMAU1 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence ~82%
